Search Term,Event count,
trüffel,340,
lachs,309,
poulet,259,
austern,235,
zander,235,
burger,175,
hummer,171,
fisch,170,
crevetten,158,
kaviar,142,
wagyu,141,
forelle,120,
rauchlachs,120,
salm,120,
Trüffel,119,
muscheln,116,
seezunge,116,
saibling,104,
wolfsbarsch,102,
tatar,98,
Lachs,96,
kalb,93,
leber,93,
rind,93,
egli,91,
scampi,90,
foie gras,89,
speck,84,
lamm,82,
burrata,81,
saumon,81,
dorade,80,
moules,79,
kabeljau,77,
tartufo,77,
rindsfilet,76,
polpo,74,
ente,73,
entenbrust,72,
entrecote,72,
11024,70,
seeteufel,68,
pouletbrust,67,
tofu,67,
knusperli,65,
Poulet,63,
gnocchi,63,
Hummer,57,
ravioli,57,
Rauchlachs,55,
sandre,55,
truffe,55,
homard,54,
tuna,54,
swiss lachs,53,
terrine,53,
vongole,53,
schwein,52,
crevette,51,
vegan,51,
Austern,50,
enten,49,
felchen,49,
nuggets,48,
Kaviar,47,
steinbutt,46,
Speck,45,
wurst,45,
gyoza,43,
kalbs,43,
sosa,43,
Saibling,42,
Wolfsbarsch,42,
alpstein,42,
filet,42,
knochen,42,
mais,42,
rogen,42,
Tartufo,41,
black tiger,41,
rinds,41,
swiss,41,
truten,39,
Muscheln,38,
lachsforelle,38,
poulet ,38,
saumon fumé,38,
schinken,38,
skrei,38,
cabillaud,37,
thunfisch,37,
truite,37,
Entenbrust,36,
Moules,36,
Seezunge,36,
langoustine,36,
pouletschenkel,36,
Dorade,35,
Salm,35,
halal,35,
jambon,35,
rinds filet,35,
thun,35,
Lamm,34,
crevettes,34,
heilbutt,34,
jus,34,
salami,34,
Wagyu,33,
caviar,33,
dinde,33,
filet poisson,33,
forellen,33,
mozzarella swiss,33,
Rind,32,
baudroie,32,
cordon bleu,32,
kebab,32,
muschel,32,
perlhuhn,32,
schnitzel,32,
veau,32,
boeuf,31,
Kabeljau,30,
cozze,30,
rohschinken,30,
sole,30,
sushi,30,
turbot,30,
Burrata,29,
Ente,29,
Pouletbrust,29,
chicken nuggets,29,
forellenfilet,29,
hecht,29,
iberico,29,
paupiette,29,
APFELSCHWEIN,28,
PLANTED,28,
Zander,28,
coquilles,28,
hirsch,28,
lachsfilet,28,
loup,28,
makrele,28,
ostriche,28,
planted,28,
seitan,28,
carpaccio,27,
fleischkäse,27,
kalbsfilet,27,
kaninchen,27,
wachtel,27,
