Search Term,Event count,
saumon,53,
truffe,42,
homard,34,
filet poisson,33,
saumon fumé,32,
sandre,30,
veau,29,
foie gras,27,
paupiette,26,
truite,26,
burger,25,
jambon,25,
crevette,24,
poulet,23,
wagyu,22,
austern,21,
lard,21,
saucisse,20,
61262,19,
crevettes,18,
langoustine,18,
poulet ,18,
Veau,17,
canard,17,
dinde,17,
caviar,16,
huitre,16,
terrine,16,
anguille,15,
huitres,15,
kebab,15,
marrons,15,
tofu,15,
boeuf,14,
caille,14,
dorade,14,
moule,14,
perche,14,
cerf,13,
sauce,13,
20797,12,
Truffe,12,
cabillaud,12,
filet de boeuf,12,
filet de flétan,12,
omble,12,
Foie gras,11,
Huitre,11,
baudroie,11,
poisson,11,
21137,10,
41610,10,
calamar,10,
entrecôte,10,
filet boeuf,10,
mousse de,10,
porc,10,
poulet pac,10,
thon,10,
Pesce spada,9,
alpstein,9,
appenzell,9,
cordon bleu,9,
filet saumon,9,
flétan,9,
lieu noir,9,
lotte,9,
perches,9,
saumon fu,9,
sole,9,
volailles,9,
31044,8,
35493,8,
41612,8,
Canard,8,
Moules,8,
Rauchlachs,8,
Saumon,8,
agneau,8,
brochet,8,
carcasse,8,
coquille,8,
gyoza,8,
langouste,8,
maigre,8,
moules,8,
rag agn,8,
tartufo,8,
20324,7,
20788,7,
20860,7,
30729,7,
35003,7,
41077,7,
Crevette,7,
Crevettes ,7,
Rouget,7,
Scampi,7,
anchois,7,
brochette,7,
choice,7,
cordon,7,
cuisse canard,7,
cuisse poulet,7,
emi pou,7,
gillardeau,7,
jambon cru,7,
loup,7,
luccioperca,7,
pintade,7,
poulpe,7,
ragout,7,
skrei,7,
volaille,7,
12499,6,
18528,6,
30024,6,
30564,6,
40109,6,
40433,6,
41602,6,
Agneau,6,
Boeuf,6,
Caviar ,6,
Dorade,6,
Pigeon,6,
Tartufo,6,
antipasti,6,
bar,6,
baudroie ,6,
boulette,6,
chipo,6,
colin,6,
cou de veau,6,
cou porc,6,
crabe,6,
crabes,6,
escalope saumon,6,
filet,6,
filet de bar,6,
filet dorade,6,
frites,6,
halal,6,
haut de cuisse,6,
magret,6,
morue,6,
parisienne,6,
pasta fresca,6,
pigeon,6,
pâte,6,
ragoût,6,
ravioli,6,
saltim,6,
saucisse de veau,6,
saumon ,6,
soja,6,
vongole,6,
yakitori,6,
écrevisse,6,
10040,5,
11841,5,
12553,5,
18508,5,
18525,5,
20787,5,
20935,5,
30130,5,
30165,5,
30722,5,
30815,5,
35158,5,
35300,5,
40417,5,
40775,5,
40904,5,
41381,5,
41595,5,
41982,5,
Filet de b,5,
HOMARD,5,
Poulpe,5,
WAG,5,
astice,5,
bio,5,
bison,5,
black tiger,5,
carapa,5,
carré de veau,5,
champignon,5,
chapon,5,
coeur saumon,5,
dinde poitrine,5,
dos lieu,5,
dry aged,5,
espadon,5,
filet de truite,5,
gnocc,5,
jambon ,5,
joue de boeuf,5,
lapin,5,
mozza,5,
omble ,5,
os,5,
pané,5,
pizza,5,
poi pou,5,
poitrine dinde,5,
poitrine poulet,5,
poularde,5,
poulet kebab,5,
rag pou,5,
rognon,5,
rouget,5,
saumon fumée,5,
sosa,5,
spech,5,
steak,5,
terrine ,5,
truff,5,
truite fumé,5,
vegan,5,
11043,4,
11310,4,
18789,4,
20306,4,
20378,4,
20443,4,
20566,4,
30039,4,
30359,4,
30747,4,
30771,4,
30811,4,
