Search Term,Event count,Total users,Event count per active user,Total revenue
peperoni,511,197,2.5939086294416200,0
tomaten,467,194,2.4072164948453600,0
karotten,443,163,2.7177914110429400,0
gurken,429,222,1.9324324324324300,0
rüebli,392,137,2.8613138686131400,0
schnittlauch,381,170,2.2411764705882400,0
zucchetti,375,175,2.142857142857140,0
blumenkohl,374,206,1.8155339805825200,0
apfel,371,162,2.2901234567901200,0
salat,370,141,2.624113475177310,0
zwiebeln,369,151,2.443708609271520,0
kartoffeln,348,124,2.806451612903230,0
broccoli,339,178,1.904494382022470,0
sellerie,330,164,2.0121951219512200,0
orangen,324,185,1.7513513513513500,0
bananen,306,135,2.2666666666666700,0
peterli,298,166,1.7951807228915700,0
randen,292,167,1.748502994011980,0
lauch,287,165,1.7393939393939400,0
trauben,244,121,2.0165289256198300,0
zitronen,240,155,1.5483870967741900,0
kiwi,238,138,1.7246376811594200,0
joghurt,236,92,2.5652173913043500,0
fenchel,234,144,1.625,0
birnen,225,135,1.6666666666666700,0
sprossen,224,86,2.604651162790700,0
kartoffel,217,88,2.465909090909090,0
minze,214,137,1.562043795620440,0
spinat,213,86,2.4767441860465100,0
rucola,212,120,1.7666666666666700,0
kürbis,208,110,1.8909090909090900,0
ananas,205,119,1.7226890756302500,0
vollei,204,123,1.6585365853658500,0
eier,203,114,1.780701754385970,0
zwiebel,200,86,2.3255813953488400,0
knoblauch,199,109,1.8256880733945000,0
käse,199,54,3.685185185185190,0
butter,194,108,1.7962962962963000,0
cherry,193,109,1.7706422018348600,0
bohnen,192,94,2.0425531914893600,0
basilikum,191,123,1.5528455284552800,0
ingwer,190,118,1.6101694915254200,0
kohlrabi,187,107,1.7476635514018700,0
champignons,182,115,1.5826086956521700,0
kresse,179,75,2.3866666666666700,0
rahm,179,73,2.452054794520550,0
mozzarella,178,96,1.8541666666666700,0
roller,178,110,1.6181818181818200,0
eisberg,172,89,1.9325842696629200,0
rosmarin,171,105,1.6285714285714300,0
thymian,170,106,1.6037735849056600,0
champignon,166,88,1.8863636363636400,0
pommes,166,73,2.2739726027397300,0
milch,158,101,1.5643564356435600,0
pfälzer,155,79,1.9620253164557000,0
vollrahm,154,103,1.4951456310679600,0
vegan,152,35,4.3428571428571400,0
Karotten,149,62,2.403225806451610,0
clementinen,141,86,1.6395348837209300,0
dill,139,100,1.39,0
mango,137,87,1.5747126436781600,0
petersilie,137,83,1.6506024096385500,0
kabis,136,84,1.619047619047620,0
mischsalat,136,34,4,0
eigelb,135,87,1.5517241379310300,0
rösti,133,80,1.6625,0
avocado,131,74,1.7702702702702700,0
koriander,131,80,1.6375,0
nüssli,130,76,1.7105263157894700,0
zitrone,129,68,1.8970588235294100,0
quark,128,68,1.8823529411764700,0
aubergine,127,80,1.5875,0
Tomaten,125,63,1.9841269841269800,0
lollo,125,64,1.953125,0
kaffeerahm,124,79,1.5696202531645600,0
pilze,122,59,2.0677966101694900,0
wirz,122,72,1.6944444444444400,0
kaki,118,72,1.6388888888888900,0
kerbel,116,67,1.7313432835820900,0
blätterteig,114,74,1.5405405405405400,0
raclette,114,63,1.8095238095238100,0
paprika,113,55,2.0545454545454500,0
clementine,108,61,1.7704918032786900,0
himbeeren,108,51,2.1176470588235300,0
Kartoffeln,107,42,2.5476190476190500,0
Peperoni,106,48,2.2083333333333300,0
Zwiebeln,106,49,2.163265306122450,0
feigen,106,67,1.5820895522388100,0
mandarinen,106,63,1.6825396825396800,0
erbsen,104,67,1.5522388059701500,0
Broccoli,102,50,2.04,0
Orangen,101,54,1.8703703703703700,0
nüssler,101,50,2.02,0
brokkoli,100,51,1.9607843137254900,0
radiesli,100,55,1.8181818181818200,0
Blumenkohl,99,61,1.6229508196721300,0
blattsalat,99,48,2.0625,0
gemüse,99,39,2.5384615384615400,0
rosenkohl,99,63,1.5714285714285700,0
Milch,98,37,2.6486486486486500,0
banane,98,53,1.849056603773590,0
hüttenkäse,98,65,1.5076923076923100,0
vollmilch,97,58,1.6724137931034500,0
apfelmus,95,33,2.878787878787880,0
Sprossen,93,29,3.206896551724140,0
mais,92,63,1.4603174603174600,0
gurke,91,58,1.5689655172413800,0
kopfsalat,90,41,2.1951219512195100,0
birne,89,56,1.5892857142857100,0
Dessert,88,8,11,0
mascarpone,88,65,1.353846153846150,0
pflaumen,88,53,1.6603773584905700,0
romanesco,88,63,1.3968253968254000,0
tofu,86,60,1.4333333333333300,0
Gurken,85,58,1.4655172413793100,0
Sellerie,85,48,1.7708333333333300,0
gala,85,44,1.9318181818181800,0
zucchini,84,41,2.048780487804880,0
Apfel,83,42,1.9761904761904800,0
Birnen,83,50,1.66,0
fondue,83,35,2.3714285714285700,0
reibkäse,83,57,1.456140350877190,0
Butternuskürbis,82,1,82,0
apero,82,17,4.823529411764710,0
pastinaken,82,60,1.3666666666666700,0
cherry tomaten,81,57,1.4464285714285700,0
Salat,80,34,2.3529411764705900,0
orange,79,44,1.7954545454545500,0
federkohl,78,44,1.7727272727272700,0
süsskartoffel,78,53,1.471698113207550,0
toast,78,36,2.1666666666666700,0
Zucchetti,77,51,1.5098039215686300,0
limetten,77,63,1.2222222222222200,0
brunoise,76,47,1.6170212765957400,0
apfelstrudel,75,17,4.411764705882350,0
brie,75,44,1.7045454545454500,0
Schnittlauch,74,45,1.6444444444444400,0
brot,74,41,1.8048780487804900,0
rettich,74,53,1.3962264150943400,0
eiweiss,73,53,1.3773584905660400,0
feta,73,52,1.4038461538461500,0
peperoni rot,73,46,1.5869565217391300,0
beeren,72,37,1.945945945945950,0
melone,72,44,1.6363636363636400,0
Randen,71,44,1.6136363636363600,0
auberginen,70,56,1.25,0
creme fraiche,70,55,1.2727272727272700,0
mischpilze,70,42,1.6666666666666700,0
