Search Term,Event count,Active users
butter,1321,652
joghurt,1152,452
milch,1091,518
tomaten,1045,457
käse,922,247
gurken,813,422
eier,798,445
servietten,746,246
sauerrahm,666,420
paprika,664,380
pommes,661,321
lachs,655,338
schlagobers,653,356
ketchup,643,419
mozzarella,630,376
zucker,611,385
Schweinefleisch,596,272
topfen,594,382
schinken,588,298
gouda,564,359
kartoffel,560,271
salz,557,397
zwiebel,543,344
senf,503,334
salat,490,197
honig,484,311
karotten,478,300
wurst,459,126
Butter,453,239
reis,452,315
mais,444,283
zitronen,437,287
kren,423,324
parmesan,411,304
schnittlauch,410,263
mehl,407,287
öl,400,212
Schaumwein,390,146
knoblauch,385,253
orangen,385,253
salami,380,227
garnelen,377,173
Milch,375,202
olivenöl,373,267
kresse,371,171
burger,370,165
emmentaler,365,233
haferflocken,364,230
orangensaft,363,255
minze,356,240
zucchini,351,227
red bull,350,248
thunfisch,350,253
bohnen,348,217
rucola,347,208
knödelbrot,344,244
cola,340,221
nutella,338,239
speck,338,199
ananas,337,204
sellerie,337,241
prosecco,328,134
apfel,327,169
räucherlachs,323,205
oliven,321,215
Tomaten,318,176
mayonnaise,318,222
fisch,317,98
petersilie,317,189
feta,316,216
mayo,316,208
vegan,316,94
kapern,313,217
balsamico,309,207
frischkäse,307,204
tomatenmark,297,229
brie,296,181
kokosmilch,296,227
obers,295,165
sauerkraut,293,219
toast,291,201
essig,290,185
bacon,289,138
vollei,288,161
linsen,287,211
Käse,284,84
preiselbeeren,282,209
wiberg,281,96
brot,280,107
schokolade,279,116
kakao,278,215
manner,278,172
spaghetti,277,211
basilikum,276,208
apfelmus,275,197
mascarpone,274,202
pfeffer,269,169
kürbis,268,175
blätterteig,267,184
coca cola,265,186
trüffel,265,186
erbsen,263,210
tafelöl,263,154
gurke,260,162
kaffee,258,118
aufstrich,257,97
teekanne,257,108
rote rüben,254,190
spinat,253,184
karfiol,252,171
apfelsaft,251,179
gemüse,251,91
kichererbsen,248,183
hummus,246,166
huhn,245,115
Lachs,243,130
vollmilch,240,122
Paprika,239,135
darbo,239,120
Eier,237,144
gnocchi,237,171
tee,236,102
monin,235,130
bananen,234,150
spätzle,234,133
glutenfrei,233,92
rotkraut,233,165
handschuhe,232,163
penne,231,152
rösti,231,113
kalb,229,107
frankfurter,227,147
kartoffeln,227,105
müsli,227,115
callebaut,225,132
hühnerfilet,225,132
leberkäse,223,151
eigelb,221,154
maroni,220,150
polenta,220,167
birnen,218,146
Gurken,217,114
Joghurt,217,121
Pommes,217,117
semmel,217,122
risotto,215,170
beiried,214,126
faschiertes,214,156
haribo,214,101
schnitzel,213,106
Sauerrahm,212,156
lachsfilet,212,132
baguette,209,114
frischhaltefolie,209,163
aperol,208,174
champignon,208,140
rum,208,140
rauch,207,105
chips,206,111
eisberg,206,120
maizena,205,173
schoko,205,69
zitrone,204,105
pizza,201,94
zitronensaft,201,155
ingwer,200,165
zimt,199,143
Servietten,198,68
creme fraiche,196,141
kuchen,196,77
rind,196,84
staubzucker,196,174
bergkäse,195,142
germ,194,141
teller,193,43
beeren,192,109
gin,192,76
mandel,192,141
punsch,192,123
rosinen,192,153
vöslauer,192,126
Ketchup,191,140
messer,191,72
schär,190,98
Salz,189,141
glühwein,188,134
biskotten,187,130
himbeeren,187,132
Schlagobers,185,121
soja,185,131
thymian,185,137
tofu,185,135
Schinken,183,88
brösel,183,134
toastbrot,183,138
Topfen,182,131
wedges,181,129
Gosset,180,141
marmelade,180,99
vanille,180,127
lasagne,179,129
tork,179,92
ziegenkäse,179,112
formil,178,111
sirup,178,109
lebkuchen,177,71
sesam,177,142
chili,176,99
philadelphia,176,126
qimiq,176,112
almdudler,175,133
cheddar,175,123
alpro,174,106
sahne,174,109
Kartoffel,173,93
edamer,172,113
pilze,172,91
kochschokolade,171,92
kroketten,171,117
semmelbrösel,171,128
camembert,170,125
hafer,170,133
kekse,170,65
majoran,170,147
dill,169,134
limetten,169,126
Salat,168,63
schlag,168,91
becher,167,66
rührei,167,76
margarine,165,107
becel,164,113
brokkoli,164,123
obst,164,46
croissant,163,90
Mais,162,104
kürbiskerne,162,135
backerbsen,160,130
kaviar,160,121
porree,160,112
rosmarin,160,132
apfelessig,159,127
buttermilch,159,113
orange,159,81
tomate,159,77
zander,159,110
avocado,158,111
erdbeeren,158,95
pute,158,103
eis,157,65
keli,157,106
kokos,157,130
mango,157,108
römerquelle,157,107
walnüsse,157,121
pfefferoni,155,119
Zwiebel,154,117
tafelspitz,154,99
walnuss,154,116
fleckerl,153,111
rotwein,153,102
sekt,153,81
entenbrust,152,98
portionsbutter,152,100
schwein,152,72
sprossen,151,99
kiwi,150,101
mandeln,150,111
ente,149,97
kartoffelsalat,149,103
